feature,importance
hour,0.21013455165120937
T3,0.06464625952866887
Press_mm_hg,0.04509718680914749
RH_3,0.04227346581756443
lights,0.03878601654903196
RH_2,0.03737576513636573
T6,0.036838600816370214
RH_1,0.034707581128664795
T8,0.034283034845375496
RH_5,0.029126399264851582
Tdewpoint,0.029056331552286874
RH_7,0.028356031761918487
T7,0.028336075205586727
T1,0.027100433923349595
T2,0.027037666034439106
RH_9,0.026827204648009764
Windspeed,0.025264364294006827
T4,0.024996906245315028
T5,0.024725477452290003
T_out,0.024361734083011902
RH_8,0.024239912735312296
RH_6,0.02280352026651188
month,0.021786346244900303
RH_4,0.021367200129874867
T9,0.019609010578704254
day_of_week,0.018963477233127888
RH_out,0.016002316960098423
Visibility,0.013766333615251244
is_weekend,0.0021307954887544115
